id,title,content,pub_date,source_url,category
6569ff0665a7cc01da7e917fe5ad504b,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",,2023-04-19 12:44:51,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,Others
2326180c7a992052785c4e3543d8c5c0,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,,,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,Others
1109f1b8d28f7bdef04af3667e8d8c9e,Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,"• Fox-Dominion trial delay 'is not unusual,' judge says
• Fox News' defamation battle isn't stopping Trump's election lies",2023-04-17 16:01:11,https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,Political Unrest
a164aa10173584e829b7224621a2230b,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.,2023-04-19 08:28:17,https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,Political Unrest
9483500f23ec17d9042123e43abb32cb,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,"A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.",2023-04-18 21:17:44,https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,Political Unrest
42ef0bee5da5d1284fde5d3da5b107e0,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump
• Opinion: For the GOP to win, it must ditch Trump
• Chris Christie mulling 2024 White House bid
• Analysis: The fire next time has begun burning in Tennessee",2023-04-18 20:34:45,https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,Positive/Uplifting
2f2c356e4bf3542add9c521fe9f7229c,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks
• 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say",2023-04-19 04:29:05,https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,Others
46115f1ed547226b1dea02e56b66a62c,Newly released video shows scene of Jeremy Renner's snowplow accident,"Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The ""Avengers"" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.",2023-04-18 14:09:43,https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,Others
132ad3a74e6fd72e531506c6dc54d1f0,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.,2023-04-18 14:40:32,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,Others
f361f407c2628cec25730863dc64b981,"Toddler crawls through White House fence, prompts Secret Service response","A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.",2023-04-18 17:38:16,https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,Others
